User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,idea,group idea,% idea in group
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,,,
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,,,
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,,,
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,,,
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,6,12,50
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,6,12,50
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,11,18,61.11111111
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,7,18,38.88888889
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,9,12,75
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,3,12,25
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,8,17,47.05882353
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,9,17,52.94117647
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,8,13,61.53846154
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,5,13,38.46153846
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,2,7,28.57142857
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,5,7,71.42857143
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,4,12,33.33333333
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,8,12,66.66666667
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,5,10,50
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,5,10,50
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,3,7,42.85714286
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,4,7,57.14285714
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,7,13,53.84615385
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,6,13,46.15384615
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,12,17,70.58823529
