User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,Word counts,Sentences counts,% words in group,% sentences in group
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,,,,
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,,,,
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,,,,
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,,,,
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,,,,
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,,,,
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,649,93,0.684599156,0.669064748
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,299,46,0.315400844,0.330935252
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,664,70,0.744394619,0.729166667
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,228,26,0.255605381,0.270833333
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,622,101,0.587901701,0.604790419
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,436,66,0.412098299,0.395209581
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,937,79,0.788720539,0.658333333
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,251,41,0.211279461,0.341666667
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,825,77,0.796332046,0.762376238
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,211,24,0.203667954,0.237623762
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,841,92,0.83681592,0.741935484
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,164,32,0.16318408,0.258064516
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,556,43,0.644264195,0.581081081
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,307,31,0.355735805,0.418918919
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,261,28,0.557692308,0.528301887
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,207,25,0.442307692,0.471698113
