User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,Non-Native
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,Native
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,Non-Native
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,Native
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,Non-Native
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,Native
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,Native
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,Non-Native
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,Native
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,Non-Native
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,Native
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,Non-Native
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,Native
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,Non-Native
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,Native
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,Non-Native
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,Native
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,Non-Native
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,Native
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,Non-Native
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,Native
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,Non-Native
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,Native
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,Non-Native
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,Non-Native
5B,5,E-L1 vs E-L2,U2,eye,F,1,4,F,Native
5A,5,E-L1 vs E-L2,U1,wing,A,2,4,F,Non-Native
5B,5,E-L1 vs E-L2,U2,wing,A,2,4,F,Native
