User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0_unitmotion_counts (Threshold = 0.0),0.05_unitmotion_counts (Threshold = 0.05),0.1_unitmotion_counts (Threshold = 0.1),0.15_unitmotion_counts (Threshold = 0.15),0.2_unitmotion_counts (Threshold = 0.2),0.25_unitmotion_counts (Threshold = 0.25),0.3_unitmotion_counts (Threshold = 0.3),0.35_unitmotion_counts (Threshold = 0.35),0.4_unitmotion_counts (Threshold = 0.4),0.45_unitmotion_counts (Threshold = 0.45),0.5_unitmotion_counts (Threshold = 0.5)
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,Non-Native,1,201,64,30,13,5,2,0,0,0,0
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,Native,1,715,282,72,8,1,1,0,0,0,0
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,Non-Native,1,208,54,25,12,3,1,0,0,0,0
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,Native,1,640,279,96,42,18,10,5,2,1,0
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,Non-Native,1,218,34,13,5,1,0,0,0,0,0
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,Native,1,65,10,5,1,1,0,0,0,0,0
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,Native,1,569,145,44,16,8,4,1,0,0,0
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,Non-Native,1,499,179,48,14,7,3,1,0,0,0
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,Native,1,637,174,50,19,7,3,2,2,1,1
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,Non-Native,1,544,137,54,17,7,4,3,1,0,0
2A,2,E-L1 vs E-L2,U1,wing,A,3,13,M,Native,1,171,38,16,8,2,1,0,0,0,0
2B,2,E-L1 vs E-L2,U2,wing,A,3,13,F,Non-Native,1,225,32,9,4,2,0,0,0,0,0
3A,3,E-L1 vs E-L2,U1,eye,F,1,8,M,Native,1,478,163,77,43,25,13,5,0,0,0
3B,3,E-L1 vs E-L2,U2,eye,F,1,8,F,Non-Native,1,411,166,89,46,26,13,6,2,0,0
3A,3,E-L1 vs E-L2,U1,wing,V,2,8,M,Native,1,572,150,50,23,16,8,5,5,4,3
3B,3,E-L1 vs E-L2,U2,wing,V,2,8,F,Non-Native,1,342,134,66,29,17,5,3,1,0,0
3A,3,E-L1 vs E-L2,U1,thumb,A,3,8,M,Native,1,692,211,64,22,8,2,2,0,0,0
3B,3,E-L1 vs E-L2,U2,thumb,A,3,8,F,Non-Native,1,294,102,37,16,5,1,0,0,0,0
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,Native,1,322,57,14,5,2,1,1,0,0,0
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,Non-Native,1,138,43,21,7,1,0,0,0,0,0
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,Native,1,326,57,26,14,11,10,9,6,2,0
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,Non-Native,1,315,75,32,11,2,0,0,0,0,0
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,Native,1,478,119,44,27,16,13,12,9,6,6
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,Non-Native,1,340,83,39,22,14,7,3,2,1,0
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,Non-Native,1,414,103,49,25,14,9,6,2,2,2
5B,5,E-L1 vs E-L2,U2,eye,F,1,4,F,Native,1,475,202,97,43,14,4,1,0,0,0
5A,5,E-L1 vs E-L2,U1,wing,A,2,4,F,Non-Native,1,87,17,6,3,2,1,0,0,0,0
5B,5,E-L1 vs E-L2,U2,wing,A,2,4,F,Native,1,246,63,22,10,6,2,0,0,0,0
5A,5,E-L1 vs E-L2,U1,thumb,V,3,4,F,Non-Native,1,794,335,157,75,36,15,7,1,1,0
5B,5,E-L1 vs E-L2,U2,thumb,V,3,4,F,Native,1,500,204,108,52,16,3,1,1,1,1
6A,6,E-L1 vs E-L2,U1,thumb,F,1,1,F,Non-Native,1,727,221,71,28,17,7,5,2,0,0
6B,6,E-L1 vs E-L2,U2,thumb,F,1,1,M,Native,1,678,288,141,75,28,8,2,1,0,0
6A,6,E-L1 vs E-L2,U1,eye,A,2,1,F,Non-Native,1,722,239,111,56,30,17,9,5,3,2
6B,6,E-L1 vs E-L2,U2,eye,A,2,1,M,Native,1,102,51,32,23,18,13,9,7,4,3
6A,6,E-L1 vs E-L2,U1,wing,V,3,1,F,Non-Native,1,460,169,106,73,47,24,14,9,5,3
6B,6,E-L1 vs E-L2,U2,wing,V,3,1,M,Native,1,525,294,177,111,70,41,26,16,10,6
7A,7,E-L1 vs E-L2,U1,wing,V,1,14,M,Non-Native,1,535,125,28,13,6,3,2,2,0,0
7B,7,E-L1 vs E-L2,U2,wing,V,1,14,M,Native,1,947,244,94,49,25,15,9,7,4,3
7A,7,E-L1 vs E-L2,U1,thumb,F,2,14,M,Non-Native,1,501,201,81,31,17,7,2,0,0,0
