User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
1A,1,E-L1 vs E-L2,U1,wing,F,1,5,M,Non-Native,604.555,287.732,383.279,0.638798333,277.652,0.462753333,193.12,0.321866667,246.395,0.410658333,1.576,0.002626667,0,0,0,0,0,0,5.988734375,9.255066667,14.85538462,49.279,0.788,0,0
1B,1,E-L1 vs E-L2,U2,wing,F,1,5,M,Native,604.574,291.328,250.572,0.41762,188.915,0.314858333,409.305,0.682175,180.924,0.30154,180.924,0.30154,0,0,0,0,0,0,0.888553192,2.623819444,51.163125,180.924,180.924,0,0
1A,1,E-L1 vs E-L2,U1,thumb,V,2,5,M,Non-Native,603.84,270.583,173.643,0.289405,261.067,0.435111667,160.317,0.267195,167.235,0.278725,132.863,0.221438333,0,0,0,0,0,0,3.215611111,10.44268,13.35975,55.745,132.863,0,0
1B,1,E-L1 vs E-L2,U2,thumb,V,2,5,M,Native,604.28,268.31,211.794,0.35299,242.363,0.403938333,298.617,0.497695,265.246,0.442076667,405.379,0.675631667,231.422,0.385703333,0.199,0.000331667,190.393,0,0.75911828,2.524614583,7.109928571,14.73588889,40.5379,46.2844,0.0995
1A,1,E-L1 vs E-L2,U1,eye,A,3,5,M,Non-Native,603.585,297.622,304.303,0.507171667,188.965,0.314941667,228.401,0.380668333,37.036,0.061726667,0,0,0,0,0,0,0,0,8.950088235,14.53576923,45.6802,37.036,0,0,0
1B,1,E-L1 vs E-L2,U2,eye,A,3,5,M,Native,603.664,240.944,325.505,0.542508333,225.843,0.376405,91.064,0.151773333,226.81,0.378016667,0,0,0,0,0,0,0,0,32.5505,45.1686,91.064,226.81,0,0,0
2A,2,E-L1 vs E-L2,U1,thumb,F,1,13,M,Native,604.56,294.922,286.106,0.476843333,320.603,0.534338333,472.933,0.788221667,196.3,0.327166667,565.089,0.941815,309.589,0.515981667,0,0,0,0,1.973144828,7.286431818,29.5583125,24.5375,141.27225,309.589,0
2B,2,E-L1 vs E-L2,U2,thumb,F,1,13,F,Non-Native,604.57,291.037,266.006,0.443343333,228.964,0.381606667,159.059,0.265098333,260.14,0.433566667,337.985,0.563308333,163.341,0.272235,0,0,0,0,1.486067039,4.770083333,11.36135714,37.16285714,112.6616667,163.341,0
2A,2,E-L1 vs E-L2,U1,eye,V,2,13,M,Native,604.438,263.968,343.795,0.572991667,385.365,0.642275,420.572,0.700953333,142.227,0.237045,212.763,0.354605,300.516,0.50086,300.516,0.50086,0.097,0.097,1.975833333,7.7073,22.13536842,20.31814286,70.921,150.258,150.258
2B,2,E-L1 vs E-L2,U2,eye,V,2,13,F,Non-Native,603.807,338.165,278.227,0.463711667,217.07,0.361783333,147.63,0.24605,241.566,0.40261,181.3,0.302166667,159.335,0.265558333,184.968,0.30828,0,0,2.030854015,4.019814815,8.684117647,34.50942857,45.325,53.11166667,184.968
